,MGH1172,MGH1173,MGH1174,MGH1175,MGH1176,MGH1181,MGH1182,MGH1183,BWH01,BWH04,BWH06,BWH09,BWH11,BWH14,BWH16,BWH23
MGH1172,0.489,0.154,-0.05,0.385,0.131,0.023,-0.054,0.216,0.146,-0.031,0.307,0.073,0.177,0.109,0.152,0.063
MGH1173,0.154,0.457,-0.026,0.212,0.165,0.077,-0.049,0.098,0.14,-0.075,0.222,0.089,0.205,0.044,0.211,0.13
MGH1174,-0.05,-0.026,0.567,0.136,0.274,-0.043,-0.159,0.232,0.251,-0.261,0.041,-0.082,0.073,0.098,0.009,-0.039
MGH1175,0.385,0.212,0.136,0.594,0.161,-0.077,-0.027,0.129,0.148,-0.099,0.046,0.002,0.163,0.055,0.161,0.027
MGH1176,0.131,0.165,0.274,0.161,0.513,-0.137,-0.286,0.213,0.27,-0.216,-0.099,0.018,0.193,0.185,0.17,0.107
MGH1181,0.023,0.077,-0.043,-0.077,-0.137,0.25,-0.039,0.034,-0.032,-0.162,0.097,0.1,0.028,-0.008,0.133,-0.039
MGH1182,-0.054,-0.049,-0.159,-0.027,-0.286,-0.039,0.174,0.11,0.038,-0.136,0.055,0.018,0.138,0.063,0.237,-0.047
MGH1183,0.216,0.098,0.232,0.129,0.213,0.034,0.11,0.124,0.09,-0.224,0.041,0.072,0.028,-0.055,0.054,-0.045
BWH01,0.146,0.14,0.251,0.148,0.27,-0.032,0.038,0.09,0.68,-0.107,0.009,0.125,0.507,0.345,0.265,0.125
BWH04,-0.031,-0.075,-0.261,-0.099,-0.216,-0.162,-0.136,-0.224,-0.207,0.249,0.225,0.013,0.016,-0.004,0.09,-0.037
BWH06,0.307,0.222,0.041,0.046,-0.099,0.097,0.055,0.041,0.009,0.225,0.373,0.08,0.019,-0.044,0.039,-0.071
BWH09,0.073,0.089,-0.082,0.002,0.018,0.1,0.018,0.072,0.125,0.013,0.08,0.078,-0.017,-0.013,0.122,0.031
BWH11,0.177,0.205,0.073,0.163,0.193,0.028,0.138,0.028,0.507,0.016,0.019,-0.017,0.616,0.343,0.277,0.062
BWH14,0.109,0.044,0.098,0.055,0.185,-0.008,0.063,-0.055,0.345,-0.004,-0.044,-0.013,0.343,0.519,0.332,0.05
BWH16,0.152,0.211,0.009,0.161,0.17,0.133,0.237,0.054,0.265,0.09,0.039,0.122,0.277,0.332,0.412,0.003
BWH23,0.063,0.13,-0.039,0.027,0.107,-0.039,-0.047,-0.045,0.125,-0.037,-0.071,0.031,0.062,0.05,0.003,0.245
