,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CC.S.HIST1H4C,5.04E-131,2.382136708,0.907,0.586,1.57E-126,CC.S,HIST1H4C
CC.S.TUBA1B,6.67E-165,1.706113267,0.985,0.823,2.08E-160,CC.S,TUBA1B
CC.S.KIAA0101,3.95E-177,1.704740479,0.679,0.079,1.23E-172,CC.S,KIAA0101
CC.S.TK1,2.77E-228,1.615411981,0.849,0.136,8.64E-224,CC.S,TK1
CC.S.H2AFZ,1.34E-198,1.597349104,0.976,0.77,4.19E-194,CC.S,H2AFZ
CC.S.RRM2,5.05E-178,1.468967259,0.676,0.056,1.58E-173,CC.S,RRM2
CC.S.UBE2C,7.92E-146,1.444109949,0.667,0.111,2.47E-141,CC.S,UBE2C
CC.S.PCNA,2.21E-201,1.439337731,0.906,0.338,6.90E-197,CC.S,PCNA
CC.S.MCM7,5.28E-182,1.387251791,0.86,0.248,1.65E-177,CC.S,MCM7
CC.S.TUBB,1.60E-158,1.368362357,0.977,0.789,5.00E-154,CC.S,TUBB
CC.S.HMGB2,7.65E-148,1.341336673,0.86,0.332,2.39E-143,CC.S,HMGB2
CC.S.STMN1,5.82E-119,1.323466023,0.897,0.512,1.82E-114,CC.S,STMN1
CC.S.RANBP1,1.08E-167,1.227396125,0.956,0.67,3.38E-163,CC.S,RANBP1
CC.S.DUT,3.55E-166,1.216839517,0.943,0.536,1.11E-161,CC.S,DUT
CC.S.TYMS,1.22E-213,1.213801717,0.806,0.101,3.79E-209,CC.S,TYMS
CC.S.CKS1B,5.07E-161,1.212144929,0.914,0.417,1.58E-156,CC.S,CKS1B
CC.S.RPA3,1.52E-138,1.174129723,0.914,0.566,4.75E-134,CC.S,RPA3
CC.S.HMGA1,1.26E-81,1.15810519,0.899,0.576,3.94E-77,CC.S,HMGA1
CC.S.TOP2A,2.25E-154,1.08398281,0.682,0.1,7.02E-150,CC.S,TOP2A
CC.S.DEK,1.76E-148,1.079125008,0.962,0.673,5.51E-144,CC.S,DEK
CC.S.SIVA1,8.95E-101,1.060242698,0.956,0.72,2.79E-96,CC.S,SIVA1
CC.S.UBE2T,2.32E-181,1.051877657,0.778,0.133,7.25E-177,CC.S,UBE2T
CC.S.STRA13,3.30E-76,1.041440769,0.735,0.418,1.03E-71,CC.S,STRA13
CC.S.LGALS1,2.72E-17,0.979989304,0.77,0.579,8.49E-13,CC.S,LGALS1
CC.S.MCM3,3.35E-162,0.922444016,0.794,0.186,1.05E-157,CC.S,MCM3
CC.S.GINS2,9.83E-207,0.913641872,0.728,0.057,3.07E-202,CC.S,GINS2
CC.S.DHFR,1.16E-136,0.878760082,0.71,0.156,3.62E-132,CC.S,DHFR
CC.S.CDK1,3.27E-160,0.866963835,0.643,0.062,1.02E-155,CC.S,CDK1
CC.S.ATP5J2,8.22E-44,0.862899816,0.742,0.496,2.56E-39,CC.S,ATP5J2
CC.S.S100A2,3.70E-25,0.858664597,0.702,0.489,1.15E-20,CC.S,S100A2
CC.S.RAN,4.22E-98,0.857137515,0.97,0.816,1.32E-93,CC.S,RAN
CC.S.NME1,3.67E-86,0.85592602,0.919,0.606,1.14E-81,CC.S,NME1
CC.S.SNRPD1,1.35E-108,0.85379146,0.945,0.666,4.21E-104,CC.S,SNRPD1
CC.S.SLBP,3.88E-106,0.846455299,0.87,0.435,1.21E-101,CC.S,SLBP
CC.S.SNRPB,2.54E-101,0.845331768,0.957,0.724,7.91E-97,CC.S,SNRPB
CC.S.SNRPG,4.77E-112,0.837988242,0.978,0.83,1.49E-107,CC.S,SNRPG
CC.S.PLAU,1.52E-47,0.835915596,0.549,0.224,4.73E-43,CC.S,PLAU
CC.S.CENPW,1.09E-141,0.830890985,0.71,0.133,3.41E-137,CC.S,CENPW
CC.S.PFN1,1.10E-77,0.826716798,0.987,0.914,3.42E-73,CC.S,PFN1
CC.S.DTYMK,8.32E-126,0.822226907,0.827,0.323,2.59E-121,CC.S,DTYMK
CC.S.FEN1,4.72E-166,0.821560442,0.676,0.086,1.47E-161,CC.S,FEN1
CC.S.CHCHD2,8.89E-110,0.817824059,0.988,0.923,2.77E-105,CC.S,CHCHD2
CC.S.ARPC1B,9.61E-35,0.816725035,0.915,0.717,3.00E-30,CC.S,ARPC1B
CC.S.ZWINT,2.12E-174,0.811225681,0.702,0.082,6.62E-170,CC.S,ZWINT
CC.S.CENPM,5.97E-174,0.805632619,0.689,0.068,1.86E-169,CC.S,CENPM
CC.S.MT2A,2.99E-19,0.792103153,0.935,0.817,9.32E-15,CC.S,MT2A
CC.S.DNAJC9,2.18E-108,0.790943703,0.685,0.188,6.82E-104,CC.S,DNAJC9
CC.S.EIF4EBP1,8.94E-94,0.790894967,0.808,0.376,2.79E-89,CC.S,EIF4EBP1
CC.S.MCM5,1.69E-166,0.786180969,0.704,0.107,5.28E-162,CC.S,MCM5
CC.S.CLSPN,1.78E-171,0.785032958,0.631,0.033,5.56E-167,CC.S,CLSPN
CC.S.GGCT,4.77E-94,0.783106264,0.902,0.542,1.49E-89,CC.S,GGCT
CC.S.LINC00152,4.63E-82,0.781195967,0.648,0.267,1.44E-77,CC.S,LINC00152
CC.S.H2AFV,8.24E-92,0.780601144,0.949,0.716,2.57E-87,CC.S,H2AFV
CC.S.CDK4,1.21E-98,0.770337311,0.861,0.467,3.79E-94,CC.S,CDK4
CC.S.LSM5,9.80E-90,0.76635313,0.931,0.682,3.06E-85,CC.S,LSM5
CC.S.LSM4,2.13E-106,0.765617287,0.924,0.611,6.65E-102,CC.S,LSM4
CC.S.HELLS,1.40E-163,0.762419196,0.679,0.076,4.37E-159,CC.S,HELLS
CC.S.TOMM40,2.59E-64,0.75811055,0.769,0.379,8.07E-60,CC.S,TOMM40
CC.S.PDCD5,4.05E-62,0.757736325,0.905,0.649,1.26E-57,CC.S,PDCD5
CC.S.HMGB1,3.50E-80,0.750909134,0.992,0.92,1.09E-75,CC.S,HMGB1
CC.S.GMNN,9.38E-137,0.748640616,0.725,0.187,2.93E-132,CC.S,GMNN
CC.S.BIRC5,4.98E-113,0.738473433,0.631,0.113,1.55E-108,CC.S,BIRC5
CC.S.SHFM1,1.74E-40,0.738120724,0.739,0.497,5.44E-36,CC.S,SHFM1
CC.S.NASP,2.89E-90,0.736810681,0.853,0.442,9.01E-86,CC.S,NASP
CC.S.NUDT1,1.11E-104,0.736693184,0.779,0.286,3.45E-100,CC.S,NUDT1
CC.S.UBE2S,4.22E-84,0.735256126,0.744,0.325,1.32E-79,CC.S,UBE2S
CC.S.KRT18,1.60E-54,0.728719769,0.993,0.956,4.99E-50,CC.S,KRT18
CC.S.CARHSP1,9.95E-74,0.726941831,0.897,0.546,3.10E-69,CC.S,CARHSP1
CC.S.MIR4435-2HG,2.55E-70,0.725530917,0.753,0.373,7.96E-66,CC.S,MIR4435-2HG
CC.S.CKLF,3.01E-90,0.723656858,0.921,0.572,9.39E-86,CC.S,CKLF
CC.S.RPL39L,1.91E-76,0.715850108,0.632,0.227,5.96E-72,CC.S,RPL39L
