,subtype,regulon,Z
0,CAF.ADH1B,AHRR,0.0970060511427928
1,CAF.ADH1B,ARID3A,-0.27766300318214815
2,CAF.ADH1B,ARNT,-0.15544578921982435
3,CAF.ADH1B,ATF3,-0.11087240201816113
4,CAF.ADH1B,ATF4,-0.09817211627368333
5,CAF.ADH1B,ATF6,0.16259830472066714
6,CAF.ADH1B,BACH1,0.796525426574198
7,CAF.ADH1B,BHLHE40,-0.38518700934615796
8,CAF.ADH1B,CEBPA,0.11770349704790967
9,CAF.ADH1B,CEBPB,0.8516135757900266
10,CAF.ADH1B,CEBPD,0.7794881652827413
11,CAF.ADH1B,CREB1,-0.15905436250996507
12,CAF.ADH1B,CREB3L1,-0.36820068200490846
13,CAF.ADH1B,CREB3L2,-0.3056469921487966
14,CAF.ADH1B,CREM,0.08098382790930653
15,CAF.ADH1B,CUX1,-0.3168725544739352
16,CAF.ADH1B,E2F1,-0.5857535643166606
17,CAF.ADH1B,E2F2,-0.25747377173590846
18,CAF.ADH1B,E2F3,-0.2521170775763529
19,CAF.ADH1B,E2F4,-0.5623704517031289
20,CAF.ADH1B,E2F7,0.10709223370327894
21,CAF.ADH1B,E2F8,-0.30372178999757743
22,CAF.ADH1B,EBF1,-0.35433698658584184
23,CAF.ADH1B,EGR1,0.28130197654609773
24,CAF.ADH1B,EGR2,-0.0771781979197292
25,CAF.ADH1B,EHF,-0.11184377500192264
26,CAF.ADH1B,ELF1,0.3679952398389003
27,CAF.ADH1B,ELF3,-0.3762507287563899
28,CAF.ADH1B,ELK1,0.016355678280538095
29,CAF.ADH1B,ELK3,-0.38297471312159553
30,CAF.ADH1B,ERF,-0.1265605250584226
31,CAF.ADH1B,ERG,0.3693416184100576
32,CAF.ADH1B,ESRRA,0.03102695954590539
33,CAF.ADH1B,ETS2,-0.21925812657297766
34,CAF.ADH1B,ETV1,0.16574023185104803
35,CAF.ADH1B,ETV2,0.15739946944619299
36,CAF.ADH1B,ETV5,0.07692154665596475
37,CAF.ADH1B,ETV7,-0.26046620068872084
38,CAF.ADH1B,FOS,0.11186569238190903
39,CAF.ADH1B,FOSB,0.2013515729706541
40,CAF.ADH1B,FOSL1,-0.6533120064752419
41,CAF.ADH1B,FOXA1,0.03380435924905853
42,CAF.ADH1B,FOXF1,-0.0659191987312897
43,CAF.ADH1B,FOXF2,0.07260882721283171
44,CAF.ADH1B,FOXN2,0.008135771136665953
45,CAF.ADH1B,FOXO1,0.7885742323117672
46,CAF.ADH1B,FOXO3,1.4502646121879432
47,CAF.ADH1B,FOXP1,0.35366438069966954
48,CAF.ADH1B,FOXP2,1.3861636979995933
49,CAF.ADH1B,GABPA,0.09031838358644909
50,CAF.ADH1B,GATA2,0.5721000801758559
51,CAF.ADH1B,GATA3,0.4912537411701888
52,CAF.ADH1B,GATA5,1.5682243994774083
53,CAF.ADH1B,GATA6,0.4288846632683231
54,CAF.ADH1B,GLI3,0.16715678031781153
55,CAF.ADH1B,GRHL1,0.12686680782783896
56,CAF.ADH1B,HES1,-0.30451642418896496
57,CAF.ADH1B,HIVEP1,0.06358286812918869
58,CAF.ADH1B,HIVEP3,0.6327256042071657
59,CAF.ADH1B,HOXA2,0.011149256493645567
60,CAF.ADH1B,HOXB2,-0.4802938299389263
61,CAF.ADH1B,IKZF1,-0.6141472286588638
62,CAF.ADH1B,IRF1,0.10597891643165411
63,CAF.ADH1B,IRF2,-0.16930679196102114
64,CAF.ADH1B,IRF7,-0.37492439000517463
65,CAF.ADH1B,IRF8,0.4471467798596255
66,CAF.ADH1B,IRX3,0.36169193872129113
67,CAF.ADH1B,JUN,0.17523664629938093
68,CAF.ADH1B,JUNB,0.17796079013107455
69,CAF.ADH1B,KLF16,0.11903619302259685
70,CAF.ADH1B,KLF5,-0.05122124143650787
71,CAF.ADH1B,KLF6,-0.7042923767804335
72,CAF.ADH1B,KLF9,0.283215149260915
73,CAF.ADH1B,LEF1,0.10037755517582739
74,CAF.ADH1B,MAFG,0.18698831284179743
75,CAF.ADH1B,MEF2C,-0.3937385333207045
76,CAF.ADH1B,MEF2D,-0.12329699096216373
77,CAF.ADH1B,MLX,-0.3085403108751816
78,CAF.ADH1B,MLXIP,0.3385401630863116
79,CAF.ADH1B,MYB,0.01318033214182706
80,CAF.ADH1B,MYBL2,-0.46497039295086795
81,CAF.ADH1B,MYC,0.32268336313427115
82,CAF.ADH1B,MYCN,0.10436133390626941
83,CAF.ADH1B,NFAT5,0.19625883274744813
84,CAF.ADH1B,NFATC2,0.05583821097646425
85,CAF.ADH1B,NFATC4,-0.05378738978768083
86,CAF.ADH1B,NFE2L1,0.03795436969559086
87,CAF.ADH1B,NFIL3,0.5601240067731422
88,CAF.ADH1B,NFKB2,0.7911029300929677
89,CAF.ADH1B,NKX2-1,-0.013991564008242943
90,CAF.ADH1B,NR4A3,-0.025930938516786958
91,CAF.ADH1B,ONECUT2,0.08449795366700756
92,CAF.ADH1B,PITX3,0.434043367068147
93,CAF.ADH1B,PRDM1,0.21100215875830508
94,CAF.ADH1B,RARG,0.03506991503670933
95,CAF.ADH1B,RBAK,0.10881973936042474
96,CAF.ADH1B,REL,-0.379404088047746
97,CAF.ADH1B,RELA,-0.3057846401575638
98,CAF.ADH1B,RELB,0.35350189304894397
99,CAF.ADH1B,RFX5,0.38446403609374974
100,CAF.ADH1B,RFX8,-0.26699412777177145
101,CAF.ADH1B,RUNX1,-0.024552268080720214
102,CAF.ADH1B,RXRA,-0.2542800372820108
103,CAF.ADH1B,RXRG,-0.16756974998397284
104,CAF.ADH1B,SOX11,-0.19382493888602792
105,CAF.ADH1B,SOX15,0.40151569539315085
106,CAF.ADH1B,SOX4,0.002702437071624982
107,CAF.ADH1B,SOX7,-0.18276721958289407
108,CAF.ADH1B,SP1,-0.205897365925127
109,CAF.ADH1B,SP2,-0.008653361649169258
110,CAF.ADH1B,SP6,0.08996792319415317
111,CAF.ADH1B,SPI1,-0.0686829791309059
112,CAF.ADH1B,SPIB,0.2811846155638392
113,CAF.ADH1B,SREBF2,0.5868729052650464
114,CAF.ADH1B,SRF,-0.4044639810354363
115,CAF.ADH1B,STAT1,-0.2687529456286587
116,CAF.ADH1B,STAT2,0.13112566404084305
117,CAF.ADH1B,TBP,0.205266089780263
118,CAF.ADH1B,TCF12,0.9797709215859628
119,CAF.ADH1B,TCF7L1,0.27853193878468807
120,CAF.ADH1B,TCF7L2,0.3462091561134641
121,CAF.ADH1B,TEAD4,-0.6070325236591396
122,CAF.ADH1B,TFAP2A,0.06541800917348613
123,CAF.ADH1B,TFCP2L1,-0.04515148974182023
124,CAF.ADH1B,TFDP1,-0.6259763257836733
125,CAF.ADH1B,TFE3,-0.16458647481572874
126,CAF.ADH1B,TFEB,-0.3001832027767193
127,CAF.ADH1B,TGIF2,0.4544103108365408
128,CAF.ADH1B,THAP1,0.046247641277525314
129,CAF.ADH1B,THAP11,0.1376338376627352
130,CAF.ADH1B,TP53,-0.08088909082715895
131,CAF.ADH1B,TWIST1,0.1931327157519415
132,CAF.ADH1B,USF1,-0.10815570602165167
133,CAF.ADH1B,XBP1,-0.36414264200703667
134,CAF.ADH1B,YY1,0.08485256968970262
135,CAF.ADH1B,YY2,-0.1690240834609956
136,CAF.ADH1B,ZBTB33,-0.07453326894835254
137,CAF.ADH1B,ZFP64,0.13504399764089597
138,CAF.ADH1B,ZFP91,-0.16334948330967794
139,CAF.ADH1B,ZNF143,-0.25099860618082137
140,CAF.ADH1B,ZNF155,0.5100490851254728
141,CAF.ADH1B,ZNF189,-0.06561062766213437
142,CAF.ADH1B,ZNF319,-0.04882187489632347
143,CAF.ADH1B,ZNF320,0.07905323584502316
144,CAF.ADH1B,ZNF383,1.3865877976877
145,CAF.ADH1B,ZNF423,0.14345686642991778
146,CAF.ADH1B,ZNF426,0.8661699711794871
