sample_name,p53_status,frame_name,region_label,numerator,denominator,percent,phenotype_label,measured,frame_index
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[13072,37337]",Any,17,258,6.589147287,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[14783,38259]",Any,7,201,3.482587065,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[13110,46241]",Any,8,729,1.09739369,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[12147,37209]",Any,12,359,3.342618384,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[9425,49016]",Any,600,1146,52.35602094,% of CD68+ that are OPN+,TRUE,5
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[7921,48546]",Any,374,1057,35.38315989,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[15697,49550]",Any,84,646,13.00309598,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[9107,50297]",Any,304,662,45.92145015,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[12497,51462]",Any,176,1224,14.37908497,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[8000,49772]",Any,214,940,22.76595745,% of CD68+ that are OPN+,TRUE,3
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9521,41065]",Any,72,428,16.82242991,% of CD68+ that are OPN+,TRUE,8
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9748,39432]",Any,226,715,31.60839161,% of CD68+ that are OPN+,TRUE,10
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[13604,44372]",Any,138,566,24.38162544,% of CD68+ that are OPN+,TRUE,3
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9552,44491]",Any,57,852,6.690140845,% of CD68+ that are OPN+,TRUE,9
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[16256,40152]",Any,380,668,56.88622754,% of CD68+ that are OPN+,TRUE,5
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[12499,49270]",Any,230,1278,17.99687011,% of CD68+ that are OPN+,TRUE,2
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[11003,44843]",Any,54,813,6.642066421,% of CD68+ that are OPN+,TRUE,0
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[13924,46127]",Any,211,1013,20.82922014,% of CD68+ that are OPN+,TRUE,4
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[8789,46290]",Any,73,1019,7.163886163,% of CD68+ that are OPN+,TRUE,7
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[11653,48213]",Any,223,1200,18.58333333,% of CD68+ that are OPN+,TRUE,1
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[18041,35617]",Any,41,705,5.815602837,% of CD68+ that are OPN+,TRUE,6
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[14434,51380]",Any,68,440,15.45454545,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[15363,41107]",Any,105,297,35.35353535,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[16523,52149]",Any,44,761,5.781865966,% of CD68+ that are OPN+,TRUE,5
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[13046,48250]",Any,77,578,13.32179931,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[12171,49425]",Any,57,571,9.982486865,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[14046,52626]",Any,43,417,10.3117506,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[12996,41700]",Any,194,911,21.29527991,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[7009,35596]",Any,189,886,21.33182844,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[5633,45269]",Any,23,893,2.575587906,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[8804,44802]",Any,78,982,7.942973523,% of CD68+ that are OPN+,TRUE,5
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[7549,41059]",Any,11,501,2.195608782,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[7109,40366]",Any,3,582,0.515463918,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[14089,40791]",Any,2,232,0.862068966,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[20291,37738]",Any,11,236,4.661016949,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[12081,36100]",Any,2,122,1.639344262,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[21813,38393]",Any,20,368,5.434782609,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[9692,41708]",Any,0,267,0,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[17092,50631]",Any,17,549,3.096539162,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[15795,50024]",Any,23,310,7.419354839,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[8870,52239]",Any,20,266,7.518796992,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[17672,49244]",Any,25,351,7.122507123,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[9172,50839]",Any,20,352,5.681818182,% of CD68+ that are OPN+,TRUE,5
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[15795,49330]",Any,81,517,15.66731141,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[17926,49343]",Any,28,293,9.556313993,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[18597,46320]",Any,19,194,9.793814433,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[18093,43800]",Any,20,284,7.042253521,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[9602,41710]",Any,117,455,25.71428571,% of CD68+ that are OPN+,TRUE,5
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[12929,45102]",Any,156,386,40.41450777,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[14751,42558]",Any,237,571,41.5061296,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[12294,38619]",Any,287,716,40.08379888,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[16401,40644]",Any,316,515,61.3592233,% of CD68+ that are OPN+,TRUE,5
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[15837,38634]",Any,136,421,32.304038,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[15476,40363]",Any,262,533,49.15572233,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[14458,39669]",Any,452,639,70.73552426,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[13380,38272]",Any,550,754,72.94429708,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[11791,45367]",Any,1,443,0.225733634,% of CD68+ that are OPN+,TRUE,0
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[12815,45205]",Any,24,538,4.460966543,% of CD68+ that are OPN+,TRUE,2
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[16564,43540]",Any,4,387,1.033591731,% of CD68+ that are OPN+,TRUE,5
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[12359,46375]",Any,6,411,1.459854015,% of CD68+ that are OPN+,TRUE,1
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[16564,42847]",Any,0,408,0,% of CD68+ that are OPN+,TRUE,4
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[12859,44279]",Any,20,578,3.460207612,% of CD68+ that are OPN+,TRUE,3
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[13072,37337]",Any,265,695,38.1294964,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[14783,38259]",Any,127,520,24.42307692,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[13110,46241]",Any,204,563,36.23445826,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[12147,37209]",Any,185,623,29.69502408,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
