int_name,partner_a,partner_b,complex1_gene1,complex1_gene2,complex1_gene3,complex_2_gene1,complex_2_gene2,complex_2_gene3,wilcox.pval,mean.diff,median.diff,mean.p53,mean.wt,median.p53,median.wt,sd.p53,sd.wt,BW11.C,BW11.D,BW14.A,BW14.B,1174.C,1174.D,BW09.A,BW09.B,BW09.C,BW09.D,BW19.C,BW19.D,BW23.A,BW23.B,BW16.A,BW16.B,1179.A,1179.B,1179.C,1179.D,alt_name
COL1A1-a2b1 complex,COL1A1,a2b1 complex,,,,ITGB1,ITGA2,,0.001998002,0.515002953,0.560496204,0.666846801,0.151843848,0.664493645,0.103997441,0.047088561,0.219620402,0.725096357,0.678296423,0.650690867,0.613303558,0.341617353,0.399370679,-0.059981883,-0.01046808,-0.110490812,-0.079569926,0.416322187,0.413644084,0.095032249,0.112962633,0.187133954,0.214208733,0.160231453,0.178627193,0.130799292,0.097182082,COL1A1-COMPLEX_93
TNC-aVb6 complex,TNC,aVb6 complex,,,,ITGAV,ITGB6,,0.001998002,0.501222661,0.488626337,0.642595779,0.141373118,0.64003463,0.151408293,0.204304239,0.11238948,0.473017352,0.45887101,0.807051908,0.831442845,0.032753262,0.026313952,0.163814546,0.154784719,0.155408436,0.148031866,0.038742036,0.04819093,0.359178806,0.286512626,0.421905512,0.468122136,0.060098615,0.110719159,0.063222211,0.071018374,TNC-COMPLEX_110
COL4A4-a2b1 complex,COL4A4,a2b1 complex,,,,ITGB1,ITGA2,,0.001998002,0.450863803,0.497775328,0.65020374,0.199339937,0.656039062,0.158263734,0.12349435,0.129741627,0.771124953,0.738142413,0.517611881,0.573935712,0.071791643,0.138677904,0.177849564,0.186357734,0.190919933,0.136939505,0.109162447,0.116054378,0.470606765,0.395039496,0.23827745,0.285926061,0.048631472,0.04262401,0.064294503,0.04111984,COL4A4-COMPLEX_93
EREG-EGFR,EREG,EGFR,,,,,,,0.001998002,0.444802039,0.403571708,0.45334443,0.008542391,0.44311908,0.039547372,0.230240739,0.065609267,0.263742273,0.246472931,0.622495887,0.68066663,0.045464097,0.063443814,-0.046229918,-0.076509403,-0.076852313,-0.061922934,0.033630647,0.048687053,0.081209524,0.07450334,0.0867564,0.057397421,0.038435272,-0.00473638,0.004087201,0.000453702,EREG-EGFR
COL4A3-a2b1 complex,COL4A3,a2b1 complex,,,,ITGB1,ITGA2,,0.001998002,0.443110219,0.472181092,0.595195386,0.152085167,0.605761271,0.133580179,0.143445361,0.12633925,0.719970303,0.716776804,0.449288698,0.494745738,-0.002517191,-0.039836744,0.145548532,0.208960814,0.194715636,0.121611825,0.117526263,0.091350077,0.347632296,0.335860161,0.184875753,0.211847828,0.052293013,0.005805441,0.005351991,-0.012495845,COL4A3-COMPLEX_93
COL17A1-a2b1 complex,COL17A1,a2b1 complex,,,,ITGB1,ITGA2,,0.001998002,0.421945718,0.440763216,0.68930586,0.267360142,0.70259869,0.261835474,0.043061838,0.193754527,0.688138679,0.628906848,0.717058701,0.72311921,0.068179222,0.060919293,0.268225517,0.281269415,0.278057257,0.255445431,0.10596203,0.162651731,0.623995642,0.568895878,0.484948634,0.498681846,0.072522761,0.072721939,0.158543837,0.086913168,COL17A1-COMPLEX_93
CDH1-a2b1 complex,CDH1,a2b1 complex,,,,ITGB1,ITGA2,,0.001998002,0.420919187,0.365935432,0.820402605,0.399483418,0.819654282,0.45371885,0.019336764,0.197544276,0.844614156,0.816617409,0.7976877,0.822691154,0.228137121,0.257887281,0.457111727,0.576036775,0.52154976,0.450325973,0.095501404,0.1625016,0.649722219,0.59606032,0.505348319,0.52030465,0.063474735,0.048774994,0.052128442,0.070845572,CDH1-COMPLEX_93
SPP1-CD44,SPP1,CD44,,,,,,,0.001998002,0.396930292,0.435501081,0.616339948,0.219409656,0.612658777,0.177157696,0.242602128,0.114112762,0.407058487,0.405579734,0.818259067,0.834462504,0.364952815,0.397789596,0.124044639,0.086416533,0.109874084,0.149965674,0.300129651,0.311024433,0.204349718,0.145549414,0.523648509,0.534156196,0.270248308,0.23684386,0.269186164,0.255833964,SPP1-CD44
COL8A2-a2b1 complex,COL8A2,a2b1 complex,,,,ITGB1,ITGA2,,0.003996004,0.396915034,0.418415671,0.404059708,0.007144673,0.401482114,-0.016933558,0.284539483,0.078484882,0.674272374,0.624646305,0.178317922,0.139002229,0.047129416,0.141006776,-0.045646293,-0.010681548,-0.0241459,-0.023185567,0.095066826,0.068427748,-0.113025636,-0.063499088,-0.01078669,0.010846589,-0.001159147,0.005543801,0.039179647,0.03439954,COL8A2-COMPLEX_93
THBS1-a3b1 complex,THBS1,a3b1 complex,,,,ITGB1,ITGA3,,0.001998002,0.380943258,0.383060274,0.603131965,0.222188707,0.616168152,0.233107878,0.033445006,0.100393685,0.626137278,0.554054278,0.609924874,0.622411431,0.30360361,0.354107324,0.117779985,0.267360898,0.105699174,0.082934174,0.328752822,0.297373654,0.198854858,0.165420576,0.224739605,0.234728973,0.196539825,0.202058037,0.163964193,0.206953934,THBS1-COMPLEX_94
