"","BW11.C","BW11.D","BW14.A","BW14.B","1174.C","1174.D","BW09.A","BW09.B","BW09.C","BW09.D","BW19.C","BW19.D","BW23.A","BW23.B","wilcox.pval.2v4","mean.diff.2v4","median.diff.2v4","mean.p53.2v4","mean.wt","median.p53.2v4","median.wt","sd.p53.2v4","sd.wt"
"hypoxia1:hypoxia1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.670896238995094,0,0,1,1,1,1,6.40987562127855e-17,7.40148683083438e-17
"hypoxia.hallmark1:hypoxia1",0.293753141296987,0.271852667384744,0.605888820196007,0.520830849445797,0.566875995706543,0.477906328730989,0.407551694396458,0.232573168102935,0.426863925950621,0.407603287480637,0.29902945809145,0.256107421335951,0.428970906127504,0.499420797359563,0.733266733266733,0.0227910712526183,-0.00994161134423704,0.423081369580883,0.411248530248041,0.407291995371392,0.417233606715629,0.165901010458287,0.107707596333206
"pemt1:hypoxia1",0.175394643507091,0.165820782725906,0.597347408861986,0.454033424372908,0.460071292255382,0.390765019138252,0.306640696782621,0.161177600320578,0.340349023061422,0.287763771051227,0.123359297021639,0.138275768862594,0.495038412637542,0.445947541553512,0.635364635364635,0.0332102225984958,-0.00878082598202173,0.348149064866973,0.327583804277971,0.31471403394,0.323494859922021,0.213228363346077,0.137202314469878
"emt.hallmark1:hypoxia1",0.2251104996069,0.221599742690603,0.517120317126815,0.379576578262625,0.517028587006039,0.415350405458567,0.291606644722137,0.231380121333079,0.290281993324944,0.276457193621016,0.200957525856885,0.214307868485843,0.572194262642027,0.495970787884302,0.945054945054945,-0.0147017546117482,0.011399219911222,0.335851784421736,0.353191997145224,0.302343538934763,0.290944319023541,0.141524202579929,0.137406606457409
"Glycolysis.Hypox:hypoxia1",-0.0158816241202835,0.0202568385839145,0.024754169208739,-0.0261451710960741,-0.137838258178407,-0.101725317584881,-0.0711272284214051,-0.0573570649583804,-0.0763953678474032,-0.0771785114463834,0.018366824284155,-0.0219660389955943,-0.203938932322088,-0.134289771974246,0.013986013986014,0.0870910198885373,0.0789745468787087,0.000746053144073982,-0.0808722580491552,0.00218760723181548,-0.0767869396468933,0.0255387155628174,0.0626979188849702
"Secretory:hypoxia1",0.0722081786754525,0.0330904744042503,0.103626531175882,0.0516731387966529,-0.032080241366564,0.0751919923178848,-0.0346658470750902,-0.041190967240211,-0.0226552574564807,-0.0279985954283226,-0.0184232773985454,-0.0544988584093797,-0.136165078097588,-0.125027837283913,0.013986013986014,0.10690097750688,0.0953137029568799,0.0651495807630594,-0.0332582571492325,0.0619406587360527,-0.0333730442208271,0.0302197524044511,0.0586223472496346
"B.T.Myeloid:hypoxia1",0.0282513819626414,-0.0181159975119797,0.0453521685207785,0.0348845528988766,-0.105236096255131,-0.0998500888698396,-0.0251755626735299,-0.0155451121386369,0.0151654507562605,-0.0299914445544591,-0.0260715302539993,0.00679407370296242,0.00986951261112606,-0.0156135528260529,0.035964035964036,0.0511584615177092,0.0519625251805504,0.0225930264675792,-0.022797254327493,0.031567967430759,-0.0203945577497914,0.0280374855582414,0.0421068046164053
"Ribosome:hypoxia1",0.0137342323081199,-0.0272628730893768,0.0630076229567743,0.062122764676541,-0.24740977906243,-0.186058819252427,-0.10240843308603,-0.0523676851293214,-0.110849416721217,-0.119103163049935,0.0154259125761446,-0.0387534505591268,-0.266942645725144,-0.191883129831397,0.00799200799200799,0.157935497697103,0.152904788377906,0.0279004367130146,-0.112566167742213,0.0379284984923305,-0.114976289885576,0.0433872268177055,0.0920498842563839
"MT.respiration:hypoxia1",0.0316691703397009,-0.0309508939792276,0.143485020969486,0.0330794821023763,-0.189545274810271,-0.167369294842329,-0.0393566049394437,-0.0581499139558391,-0.0457228908802924,-0.0550398122199644,-0.0161930275410544,-0.0658144313124937,-0.11570535179276,-0.0523774356870792,0.003996003996004,0.124848098656237,0.0889691893089403,0.044320694858084,-0.0701995050799229,0.0323743262210386,-0.0565948630879018,0.0725391884801592,0.0576083140912029
"AT.SFTPA2.1:hypoxia1",0.0207304337787296,-0.0316883164981906,-0.0557211443241237,-0.0813880881762011,-0.242540776074559,-0.213743064572368,-0.0860742240991491,-0.0878422606652296,-0.107061397979569,-0.124479689560327,-0.044277307833249,-0.0539228701370933,-0.118176431051519,-0.0697835605530568,0.035964035964036,0.0777733794476655,0.0537470989112422,-0.0370167788049464,-0.111753606427484,-0.0437047304111571,-0.0974518293223993,0.0435193422764843,0.0654304230553191
