"","BW11.C","BW11.D","BW14.A","BW14.B","BW16.A","BW16.B","1174.C","1174.D","BW09.A","BW09.B","BW09.C","BW09.D","BW19.C","BW19.D","BW23.A","BW23.B","1179.A","1179.B","1179.C","1179.D","wilcox.pval.2v4","wilcox.pval.3v4","mean.diff.2v4","mean.diff.3v4","median.diff.2v4","median.diff.3v4","mean.p53.2v4","mean.p53.3v4","mean.wt","median.p53.2v4","median.p53.3v4","median.wt","sd.p53.2v4","sd.p53.3v4","sd.wt","partner_a","partner_b","complex1_gene1","complex1_gene2","complex1_gene3","complex_2_gene1","complex_2_gene2","complex_2_gene3","int_name"
"COMPLEX_29-COMPLEX_30",0.015255085014029,0.0723043359064006,0.017056110420038,0.0407524710512777,0.0203772433248063,0.0403158713510069,0.10825317768408,-0.0103725095438512,0.015910706082691,0.0280629031571611,0.0539643520877889,0.0553235080197608,-0.00331975653799145,-0.00386665137622806,0.010454370050207,0.00434840619885199,0.0684979333999081,0.0152478297449241,0.047163238486148,0.0890702549394544,0.373626373626374,0.313186813186813,0.0104661500156893,0.00846766892901276,0.0157217526692088,0.0171640192714576,0.0363420005979363,0.0343435195112597,0.025875850582247,0.0289042907356578,0.0303465573379066,0.013182538066449,0.0266417302945023,0.0217992978918324,0.0369661048993527,"IL12","IL12 receptor","IL12A","IL12B","","IL12RB1","IL12RB2","","IL12-IL12 receptor"
"COMPLEX_5-COMPLEX_9",0.286186344972761,0.245500463968032,0.211010113514752,0.28889090604185,0.120952448675787,0.119532559494292,0.0911440468057218,0.103178626575661,0.0756800798278485,0.096049590545181,0.0577130477503796,0.0686530961190081,0.166892627626693,0.10137698601731,0.115526940613374,0.0924768794046881,0.0931905642332519,0.0736441414843612,0.0704563958642603,0.125203292696015,0.001998001998002,0.000999000999000999,0.161027764995762,0.115142947315992,0.171580169495462,0.133992053766457,0.257896957124349,0.212012139444579,0.0968691921285865,0.265843404470396,0.228255288741392,0.0942632349749346,0.0370268527809386,0.0766537271700419,0.0300787741877414,"ACVR_1B2A receptor","Activin ligand ab","ACVR1B","ACVR2A","","INHBA","INHBB","","ACVR_1B2A receptor-Activin ligand ab"
"COMPLEX_3-COMPLEX_9",0.296356786616655,0.264418366315241,0.177229331827922,0.246579845560758,0.127257426590201,0.127517780145468,0.127161594795643,0.0805458231444495,0.114911834172603,0.151056961576789,0.103173373974328,0.118725563628639,0.180657136732017,0.137689425872647,0.189580274117381,0.122024821185424,0.0999472216878771,0.0987853897312032,0.121066140634426,0.160644125042011,0.00799200799200799,0.0312187812187812,0.113593401660152,0.0740072419227153,0.130905897947466,0.087311380703806,0.246146082580144,0.206559922842708,0.132552680919992,0.255499105937999,0.21190458869434,0.124593207990534,0.0503477832590648,0.0726766816006154,0.0335743368019712,"ACVR_1A2A receptor","Activin ligand ab","ACVR1","ACVR2A","","INHBA","INHBB","","ACVR_1A2A receptor-Activin ligand ab"
"COMPLEX_44-COMPLEX_45",0.0307303976253483,0.000562804806112184,0.0288501537410696,0.0511442059213405,-0.0188963102289147,-0.0168811051928538,-0.00645181549311117,0.0154348304229803,0.015186376085204,-0.0029057557785162,0.0550619811497504,0.0305861391868696,-0.00308347920639898,0.107300634388085,-0.00787020011595967,0.0114469811797491,0.0183570115295848,-0.00336734414349724,0.0346816125137634,-0.000829448803760676,0.373626373626374,0.792457542457542,0.00635132134160242,-0.00888554473651489,0.0164735970507324,0.00138980064111436,0.0278218905234677,0.0125850244453504,0.0214705691818653,0.029790275683209,0.0147064792735909,0.0133166786324766,0.0207886578729072,0.0285813941882786,0.0358892076461975,"IL23","IL23 receptor","IL12B","IL23A","","IL12RB1","IL23R","","IL23-IL23 receptor"
"COMPLEX_6-COMPLEX_9",0.210434475150284,0.15946825258176,0.22825603440344,0.28646640886842,0.116874181715217,0.109193453981621,0.140049173180887,0.150622840176547,0.0902784457578467,0.12937615079055,0.0823146303424226,0.0664390474596947,0.111150262444433,0.109414021418511,0.116508022572367,0.00984075783701368,0.00442985312543923,-0.0133693001315118,-0.0502101011715862,0.0097039494400709,0.001998001998002,0.0224775224775225,0.120556957552949,0.0845161325854296,0.109063112845391,0.0746692219345503,0.221156292750976,0.185115467783457,0.100599335198027,0.219345254776862,0.184951363866022,0.110282141931472,0.052396530646558,0.069069499538824,0.0410605904449736,"ACVR_1B2B receptor","Activin ligand ab","ACVR1B","ACVR2B","","INHBA","INHBB","","ACVR_1B2B receptor-Activin ligand ab"
"COMPLEX_106-COMPLEX_112",-0.00240286076068964,-0.0113351691949794,-0.00306172160860795,-0.000463615033297498,-0.0215868978613097,-0.000403768665881357,-0.0353113328361437,0.0116528305006619,-0.116316369645952,-0.0831786135930899,-0.0925080899640816,-0.0879429284565842,-0.00156872051368888,0.0185977188225088,-0.019654954059563,-0.0427023177598305,-0.101584760180819,-0.065193333618457,-0.0478447432714338,-0.099635088143533,0.23976023976024,0.180569430569431,0.0405774361011827,0.0383509388964487,0.0362745341133383,0.0362745341133383,-0.00431584164939362,-0.00654233885412758,-0.0448932777505763,-0.0027322911846488,-0.0027322911846488,-0.0390068252979871,0.00480773411810682,0.00840467585262617,0.0477570715941503,"aMb2 complex","fibrinogen","ITGB2","ITGAM","","FGA","FGG","FGB","aMb2 complex-fibrinogen"
"COMPLEX_7-COMPLEX_9",0.066621207633754,0.00343983306705154,0.0433355283171364,0.065602154627098,0.0543594759542086,0.0336283902279955,0.0584684305004803,0.0667603028040309,0.021085254405944,0.0375083398732239,0.0159322423825771,0.0427095271435709,0.0115095734316903,0.038000011717662,0.0168887381314538,0.0117484554258687,0.0657991241547726,0.0436553097212123,0.0878287144544996,0.0681821169848423,0.453546453546454,0.367632367632368,0.0126885933296098,0.0124366773895571,0.0251720443325332,0.0195507049960885,0.04474968091126,0.0444977649712073,0.0320610875816502,0.0544688414721172,0.0488475021356725,0.0292967971395839,0.0295617585049424,0.0238216002615174,0.0197919524828613,"ACVR_1C2A receptor","Activin ligand ab","ACVR1C","ACVR2A","","INHBA","INHBB","","ACVR_1C2A receptor-Activin ligand ab"
"COMPLEX_4-COMPLEX_9",0.215906614390667,0.169743535319825,0.221519801548238,0.252606344805879,0.0955780243860654,0.0921542555220641,0.156536380057505,0.162710284120794,0.122183652418614,0.160907005019892,0.112334067383757,0.0991735136887237,0.1444277855734,0.130404149668876,0.137324003737394,0.0437685967239071,0.00582715125202396,-0.0151278265832902,-0.0272277571251006,0.0423247409292112,0.001998001998002,0.21978021978022,0.0879671301768657,0.0476078188228367,0.084849131266317,0.0589609981521105,0.214944074016152,0.174584762662123,0.126976943839286,0.218713207969452,0.192825074855246,0.133864076703135,0.0341843142197593,0.0679088378170327,0.0359926989908927,"ACVR_1A2B receptor","Activin ligand ab","ACVR1","ACVR2B","","INHBA","INHBB","","ACVR_1A2B receptor-Activin ligand ab"
"COMPLEX_47-COMPLEX_48",0.154490697050179,0.0570014086619815,0.0426371155643852,0.0372576081112058,0.142989496878023,0.12640156457111,0.153360025521148,0.0616402734456878,0.135165032089733,0.0767678823457573,0.0686462282530332,0.117819344502399,-0.0243640062525695,0.0655496079043854,0.107019361957837,0.0320558856800278,0.0354763278377634,-0.00823388304774029,0.0365979365101906,0.0966084191486315,0.635364635364635,0.792457542457542,-0.00651925619780598,0.0140970182614035,-0.0228877931862119,0.0189944313171506,0.0728467073469379,0.0934629818061474,0.0793659635447439,0.0498192621131834,0.0917014866165458,0.0727070552993952,0.0550636539687106,0.0535424448175399,0.0521290437644363,"IL27","IL27 receptor","EBI3","IL27","","IL27RA","IL6ST","","IL27-IL27 receptor"
"COMPLEX_33-COMPLEX_35",0.141465828528582,0.123734827843122,0.322194919541281,0.327699091458245,0.00829351123025544,0.0256801274241586,0.181811963948188,0.397875983872139,0.0506310327722277,0.095336652660337,0.176693396924358,0.189148509886782,0.129569946255198,0.0432876597838219,0.0175877518987263,0.01667784218234,0.0929469110146759,0.0581647211615642,0.0707840822415298,0.00974738577947619,0.23976023976024,0.957792207792208,0.098911592824396,0.0283159769858624,0.119377074577164,0.0201470287280851,0.228773666842808,0.158178051004274,0.129862074018412,0.231830374034932,0.132600328185852,0.112453299457767,0.111309757614508,0.139374047325462,0.115767617867888,"IL17 AF","IL17 receptor AC","IL17A","IL17F","","IL17RA","IL17RC","","IL17 AF-IL17 receptor AC"
