"","BW11.C","BW11.D","BW14.A","BW14.B","1174.C","1174.D","BW09.A","BW09.B","BW09.C","BW09.D","BW19.C","BW19.D","BW23.A","BW23.B","wilcox.pval.2v4","mean.diff.2v4","median.diff.2v4","mean.p53.2v4","mean.wt","median.p53.2v4","median.wt","sd.p53.2v4","sd.wt"
"hypoxia1:hypoxia1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.635256295997248,0,0,1,1,1,1,0,3.70074341541719e-17
"hypoxia.hallmark1:hypoxia1",0.274109643862853,0.268437276189886,0.581841454232663,0.485468406777446,0.537566781170466,0.463158305217524,0.396448127178787,0.252393556251572,0.416670317371198,0.395373783066228,0.326215475928234,0.313579592326351,0.425672155298962,0.500870442529658,1,-0.000330658368185965,-0.0267701969548428,0.402464195265712,0.410310631192402,0.37978902532015,0.406559222274992,0.156529024002971,0.0873572529081804
"pemt1:hypoxia1",0.204430420079672,0.178403891765079,0.613819621085106,0.462459787037646,0.426031929005946,0.376073668154664,0.267053613716406,0.164810201636317,0.330137030139083,0.263471176816088,0.128272461537072,0.124545999570526,0.494656979342995,0.446444413438717,0.53946053946054,0.0626286826560945,0.0348497816309144,0.364778429991876,0.316723387308678,0.333445103558659,0.298595321927745,0.209769806500279,0.134511931319843
"emt.hallmark1:hypoxia1",0.264635146210517,0.24020210246327,0.594359753177215,0.417032734973195,0.495014083668338,0.405503270112863,0.23815853306763,0.235141590517118,0.243984641780996,0.238928251504427,0.224293045777505,0.206864346291949,0.572342924859561,0.498377579079597,0.303696303696304,0.0431966075400508,0.0993774939491449,0.379057434206049,0.343240091057562,0.340833940591856,0.241456446642711,0.163473214081335,0.141079185246105
"p53_targets1:hypoxia1",0.107888012856953,0.0393075570405469,-0.141599152259145,-0.0274656807951697,0.294797348155485,0.184732130230138,-0.0114421043295642,0.0775057921949572,-0.00332390057017119,0.026318389461674,0.0424450651843594,0.03704816304893,-0.116369112762344,-0.0879944262059458,0.635364635364635,-0.0498390502299557,-0.0257623381326134,-0.00546731578920387,0.0378410603283953,0.00592093812268857,0.031683276255302,0.106254450468381,0.121400916687181
"Cancer:hypoxia1",-0.0360426604147792,-0.0560115570656685,0.102587743494426,0.0442793346366117,-0.351306192719318,-0.22356355935594,-0.0355867577292885,-0.136624627613195,-0.100328865817674,-0.137526260238118,-0.0982412496678988,-0.0321145102838102,-0.391797202523774,-0.268578060666924,0.023976023976024,0.191269943824242,0.141193781036573,0.0137032151626475,-0.157398904725394,0.00411833711091626,-0.137075443925656,0.0734169827371018,0.12619704261839
"Myeloid:hypoxia1",-0.0244229812676029,0.0210579927816853,-0.0163618323675576,0.19653329387135,0.0684529854434174,0.013343542192225,0.0623020090845066,0.0157950376398963,0.0929290764942361,0.118080036428638,-0.030423119694843,-0.015766129521619,-0.0357722162213439,-0.103962009272029,0.839160839160839,0.0257036969971603,-0.0122212097089968,0.0442016182544688,0.0346829551313123,0.00234808020706387,0.0145692899160607,0.103469534980242,0.0678345619170735
"Lymphoid:hypoxia1",-0.0143910760129412,-0.0352993936310263,-0.120581634897544,-0.157973275059856,0.296239595284774,0.169653051647475,0.00328146332956672,-0.0686014693386969,0.0613212021724576,0.0690119363130411,0.0206330970426624,-0.0247286450310771,-0.153117908945916,-0.121894745287701,0.141858141858142,-0.107241102619,-0.0898977944503997,-0.0820613449003418,0.00852948201152094,-0.0779405142642851,0.0119572801861146,0.0683432007342803,0.134486832934188
"NK:hypoxia1",-0.0219629682737718,-0.0432364757836533,-0.150396743527259,-0.131166940229124,0.0590843312615974,0.0288127174226832,-0.0121050018672841,0.00153633216699928,0.0159201715595426,0.00302852855538503,-0.0499501258647531,-0.0035430912428261,-0.0359524489436744,-0.010431189842675,0.013986013986014,-0.0863308042739514,-0.0861983284684753,-0.086690781953452,-0.0122515197294663,-0.0872017080063887,-0.00100337953791341,0.0635466883046262,0.0309844175121116
"Plasma:hypoxia1",0.0186917960141947,0.0187969985060776,0.0214031564857563,0.00818820341979141,0.116187170052942,0.0947534651941433,-0.0659382036245233,0.0467418479258727,-0.0491386861170096,-0.0338805393388195,0.0705752560529852,-0.00735971208288624,0.267618180443902,0.280283658424729,0.635364635364635,-0.0552142050866786,-0.0399141547292928,0.016770038606455,0.0661846036682843,0.0187443972601362,0.058658551989429,0.0058570582611478,0.122913232506773
