"","BW11.C","BW11.D","BW14.A","BW14.B","BW16.A","BW16.B","1174.C","1174.D","BW09.A","BW09.B","BW09.C","BW09.D","BW19.C","BW19.D","BW23.A","BW23.B","1179.A","1179.B","1179.C","1179.D","wilcox.pval.2v4","wilcox.pval.3v4","mean.diff.2v4","mean.diff.3v4","median.diff.2v4","median.diff.3v4","mean.p53.2v4","mean.p53.3v4","mean.wt","median.p53.2v4","median.p53.3v4","median.wt","sd.p53.2v4","sd.p53.3v4","sd.wt","partner_a","partner_b","complex1_gene1","complex1_gene2","complex1_gene3","complex_2_gene1","complex_2_gene2","complex_2_gene3","int_name"
"COMPLEX_29-COMPLEX_30",0.0144583925409073,0.0815570615804832,0.013803046904489,0.0485767877895368,0.021825036125782,0.0394961278775589,0.119425976478142,-0.0123708300827629,0.00656636960867185,0.0251802302941943,0.0313246624286619,0.048461447607973,-0.00422838586351375,-0.00299963897415704,0.00984743840163276,0.00373086500971264,0.0663756695983996,0.0137105564150484,0.0458538780922796,0.0893904861052285,0.187812187812188,0.147102897102897,0.0171050087129986,0.0141255953122707,0.0233106861600697,0.0224536779965182,0.0395988222038541,0.0366194088031262,0.0224938134908555,0.031517590165222,0.0306605820016705,0.0082069040051523,0.0323448138273466,0.0260814782440575,0.0387306380400402,"IL12","IL12 receptor","IL12A","IL12B","","IL12RB1","IL12RB2","","IL12-IL12 receptor"
"COMPLEX_5-COMPLEX_9",0.337900212458839,0.284838072564964,0.210109053770778,0.289880883920494,0.116278832639857,0.118610890122197,0.0917164197911257,0.128388725870472,0.0915016158306597,0.0948312996153308,0.0728600379792744,0.0763546046884575,0.224873387802218,0.14071163578201,0.107025892202266,0.0825451594083707,0.0860245271799183,0.0674414472108434,0.0667791404014258,0.12159109589013,0.003996003996004,0.010989010989011,0.16960117778175,0.115188779682503,0.1940856185395,0.154199703464643,0.280682055678769,0.226269657579521,0.111080877897019,0.287359478242729,0.247473563167871,0.0932738597032283,0.0527773846168761,0.0936884037968148,0.0455169492894781,"ACVR_1B2A receptor","Activin ligand ab","ACVR1B","ACVR2A","","INHBA","INHBB","","ACVR_1B2A receptor-Activin ligand ab"
"COMPLEX_3-COMPLEX_9",0.345258761516698,0.30407296902701,0.174551558749722,0.245994277046269,0.122167329494358,0.125735840995925,0.134875193842451,0.103636990007508,0.113577482334838,0.143178503508522,0.102043338184912,0.117275889182502,0.241057864311415,0.185679357494204,0.181388285939809,0.111483508244231,0.0913215858399198,0.0910994038474965,0.115061501727018,0.154902331725101,0.013986013986014,0.0726773226773227,0.124049750279886,0.0762104814999581,0.148958081524163,0.0841973763855187,0.267469391584925,0.219630122804997,0.143419641305039,0.27503362303664,0.210272917897995,0.126075541512477,0.0741303180423507,0.0937607881207561,0.0456099581421833,"ACVR_1A2A receptor","Activin ligand ab","ACVR1","ACVR2A","","INHBA","INHBB","","ACVR_1A2A receptor-Activin ligand ab"
"COMPLEX_44-COMPLEX_45",0.0307207030232817,0.00293599484902785,0.0384821471393681,0.0617228634430748,-0.0182149278496346,-0.0174849104227862,-0.00996372575637042,0.0136899322350588,0.0108635785766681,-0.00638532349285372,0.0409535672853428,0.0303874054024975,-0.00402378408441382,0.109688145707153,-0.00853534038310978,0.010911376574897,0.0158069271433409,-0.00464278531139063,0.0337114402640533,-0.000567478933357059,0.23976023976024,0.957792207792208,0.0147068439072012,-0.00239827150943167,0.0237139475055423,0.00594087136037221,0.0334654271136881,0.0163603116970553,0.0187585832064869,0.0346014250813249,0.0168283489361548,0.0108874775757826,0.0242434178865133,0.0324792736254309,0.0361583165994257,"IL23","IL23 receptor","IL12B","IL23A","","IL12RB1","IL23R","","IL23-IL23 receptor"
"COMPLEX_6-COMPLEX_9",0.230515157680081,0.158297872891687,0.236698331632183,0.303261072731388,0.115495098513307,0.108952478310373,0.15133346672301,0.164424416039387,0.0990263699876013,0.128069026921385,0.0936565556044366,0.065171902067324,0.172729371802883,0.145419638928835,0.108422505269678,0.00884255742354199,0.00184511949626051,-0.0154605085185333,-0.0523894647598602,0.0127029303350714,0.00799200799200799,0.055944055944056,0.118483527657027,0.0784937542163616,0.115360978560601,0.0761607491903527,0.232193108733835,0.19220333529317,0.113709581076808,0.233606744656132,0.194406515285884,0.118245766095532,0.0592572750527356,0.0771308766158083,0.0502010192794822,"ACVR_1B2B receptor","Activin ligand ab","ACVR1B","ACVR2B","","INHBA","INHBB","","ACVR_1B2B receptor-Activin ligand ab"
"COMPLEX_106-COMPLEX_112",-0.0104212595737656,-0.0194968072889106,-0.00854934143882267,-0.0107362192241199,-0.0214148081051259,-0.00116544022591737,-0.0184190347739531,0.02614160631126,-0.0925573535651091,-0.0711691930398402,-0.0673890478814496,-0.0817093134477493,0.0347163139275239,0.0326124866911037,-0.0156475631872747,-0.0455373032189467,-0.0953023538859172,-0.0605408831340759,-0.0429461809754819,-0.0900189186264497,0.453546453546454,0.427822177822178,0.0175949333370388,0.0179318609089999,0.0213994295975071,0.0213994295975071,-0.0123009068814047,-0.0119639793094437,-0.0298958402184435,-0.0105787393989428,-0.0105787393989428,-0.0319781689964499,0.00489341555598584,0.00745945359164361,0.0489011862765736,"aMb2 complex","fibrinogen","ITGB2","ITGAM","","FGA","FGG","FGB","aMb2 complex-fibrinogen"
"COMPLEX_7-COMPLEX_9",0.0706794653296413,-0.00386839325458573,0.0498553602748882,0.0627645197985548,0.0524965686158547,0.0298250006278455,0.0834616378556987,0.0876853920952657,0.0151766351645034,0.0296473203864492,0.0103065146966473,0.0306720684416674,0.0295937439163203,0.0423249603672807,0.0122755699371983,0.00672456141568024,0.0627568168597527,0.0409112908990491,0.0856517342303647,0.0657617685894739,0.635364635364635,0.427822177822178,0.0100708976094535,0.00883857980436201,0.0266894078853367,0.0215554322939867,0.0448577380371246,0.0436254202320331,0.0347868404276711,0.0563099400367215,0.0511759644453715,0.0296205321513848,0.0335987426952705,0.0270623347688236,0.0290071360805165,"ACVR_1C2A receptor","Activin ligand ab","ACVR1C","ACVR2A","","INHBA","INHBB","","ACVR_1C2A receptor-Activin ligand ab"
"COMPLEX_4-COMPLEX_9",0.233957458849059,0.169646429646174,0.231876268162084,0.267309103962136,0.0938572987917648,0.0903730045369946,0.171269761314449,0.17880685662428,0.120977117643847,0.15705150553609,0.113235455829657,0.0897838217492253,0.214021813537329,0.174684071851574,0.130304177480245,0.0405406230857496,0.000618704024682431,-0.0201578075446921,-0.0314284639498732,0.0400696276843963,0.023976023976024,0.313186813186813,0.0866297946896186,0.0421024068594574,0.0892390219974034,0.057083507395961,0.225697315154863,0.181169927324702,0.139067520465245,0.232916863505571,0.200761348904129,0.143677841508168,0.0407416746839707,0.0758656464087948,0.0505899578747288,"ACVR_1A2B receptor","Activin ligand ab","ACVR1","ACVR2B","","INHBA","INHBB","","ACVR_1A2B receptor-Activin ligand ab"
"COMPLEX_47-COMPLEX_48",0.170610445685818,0.0569755405431747,0.0368286029781557,0.040037952917382,0.142689923724135,0.126027778260058,0.140617028727399,0.0453880745758302,0.122936837353688,0.0656938492004858,0.0622625801071701,0.111191758002873,-0.0231585890102388,0.0820287630911036,0.100580606896007,0.0311708001954187,0.0349258908213314,-0.0120102852387764,0.0341558987519965,0.0955180337651014,0.733266733266733,0.562187812187812,0.00224196461715884,0.0216572031041469,-0.0253545594155163,0.0176403532558217,0.0761131355311325,0.0955283740181205,0.0738711709139737,0.0485067467302783,0.0915016594016163,0.0738613061457947,0.0636152038088255,0.0579705336161876,0.0486326666370525,"IL27","IL27 receptor","EBI3","IL27","","IL27RA","IL6ST","","IL27-IL27 receptor"
"COMPLEX_33-COMPLEX_35",0.158941533936858,0.141564766658506,0.317759393911077,0.313146900120056,0.00831483518258286,0.0256761413403214,0.211429544711387,0.397514603683535,0.0379583255449562,0.0886824984291477,0.166002326038243,0.178971487046222,0.207639589766111,0.0637713625290068,0.0169387394256246,0.0157832538241962,0.083819786247522,0.0534912984383017,0.0671252255631665,0.0124183598135973,0.303696303696304,1,0.0943839755567813,0.0224314220917239,0.108701804794761,0.0229107380639869,0.232853148656624,0.160900595191567,0.138469173099843,0.236044217028457,0.150253150297682,0.127342412233695,0.0956602538250134,0.133962233008451,0.11906729977067,"IL17 AF","IL17 receptor AC","IL17A","IL17F","","IL17RA","IL17RC","","IL17 AF-IL17 receptor AC"
